BEAM - szerokość całkowita,DWT - nośność statku,GT - pojemność statku brutto,LOA - długość statku,Nazwa statku,NT - pojemność statku netto,Maksymalne zanurzenie letnie,Numer IMO,Numer MMSI,Sygnał wywoławczy,Typ statku
13.4,5019,3169,95.3,EEMS RUNNER,1680,5.72,9259056,244002000,PBFN,General Cargo Ship
13.7,3904,2863,89.96,LISTERVIK,1394,5.713,9136216,,,"General Cargo Ship, Self-discharging"
29.05,31241,23930,193.84,BAHRI DIRIYAH,,11.2,,403297001,HZOH,
30.23,34627,26626,210,MAERSK NEWCASTLE,12715,11.52,9215878,563460000,9V3533,Container Ship (Fully Cellular)
22.74,11390,9981,134.42,NEUENFELDE,6006,8.71,9231846,305287000,V2DO9,Container Ship (Fully Cellular)
24.5,18530,14072,154.51,ALEXANDER B,5525,10,9328649,305654000,V2FE7,Container Ship (Fully Cellular)
12.8,3632,2506,87.87,WILSON GDYNIA,1351,5.52,9056064,314192000,8PSA,General Cargo Ship
13.2,5049,2999,95.16,KAATA,1714,6.19,9184823,215908000,9HJX8,General Cargo Ship
51,173069,151702,365.97,MSC MILAN,75437,16.9,,636024421,5LSM9,
43.84,115824,61473,248.95,AEGEAN HARMONY,35396,14.93,9338917,240633000,SZVD,Crude Oil Tanker
22.8,17945,12763,149.9,FURE VIKEN,5838,9.36,9980318,265057000,SBLJ,Chemical/Products Tanker
40,67164,66332,278.94,PORTO KAGIO,25129,14.02,9261451,636020868,5LBC6,Container Ship (Fully Cellular)
51.07,157000,149228,365.9,MSC STACEY,92930,14.5,9954759,636022722,5LKD6,Container Ship (Fully Cellular)
23.5,14230,12514,158.08,NORDIC PORTO,5387,8.6,9448671,209056000,5BUB4,Container Ship (Fully Cellular)
13.75,3300,2548,91.25,FRI RIVER,1428,4.92,9224104,311000758,C6DR5,General Cargo Ship
14,6000,3990,110.78,NORDFJORD,2214,6.09,9341732,246512000,PHFB,General Cargo Ship
16.8,6040,4065,99.99,LADY BERTA,1772,6.7,9883259,247482400,IBAP,Chemical/Products Tanker
24.38,5500,2308,73.15,KIKKA,692,3.9,,,,
17.63,5072,4313,99.9,FORBIN,1374,6.27,9559652,248976000,9HA2597,LPG Tanker
9.2,310,274,32.62,LEOPARD,82,3.7,6819697,576909000,YJRA7,Tug
15.37,3546,3625,92.9,SILVER BIRD,1952,5.6,8915524,257312000,LADP8,Refrigerated Cargo Ship
10.18,93,198,21.02,ARGO,158,3.1,1045069,376623000,J8B6731,Tug
15.5,2355,2327,68.95,BAZALT II,751,6,9250036,210444000,5BAK6,Anchor Handling Tug Supply
,,,,CONRAD 2,,,,,,
13.8,5019,3405,103,EEVA VG,1636,6.13,9769104,230663000,OJRM,General Cargo Ship
10.2,216,309,30,RADUGA POSEIDON,92,3.5,9741229,255972000,CRXF,Tug
16.99,5885,4425,99.94,OKTAN,1821,6.6,9251755,231884000,OZ2215,Chemical/Products Tanker
13.03,4023,2469,85.65,ELENORA,1272,5.71,9184421,255924000,CQWD,General Cargo Ship
20.95,9526,7720,141.58,ELBSPRINTER,3614,7.3,9349215,210167000,C4RJ2,Container Ship (Fully Cellular)
15.2,4508,3183,89.94,SIEGFRIED LEHMANN,1765,5.25,9325142,305982000,V2GL5,General Cargo Ship
15,4508,3183,89.94,SIEGFRIED LEHMANN,1765,5.25,9325142,305982000,V2GL5,General Cargo Ship
23.79,18561,13283,148.71,STEN FJELL,5845,9.27,9460241,236522000,ZDJF5,Chemical/Products Tanker
30.05,34428,23456,180,FOUR TURANDOT,11522,9.9,9480710,248506000,9HA4679,Bulk Carrier
19,10883,4744,101.1,KARBON,2741,7.15,8606006,,CU4096,
12.5,3850,2545,88.78,BALTIC MOON,1460,5.42,9195729,235081933,2DTN5,General Cargo Ship
11.46,2517,1864,82.35,WILSON WISLA,938,4.798,9156175,,,General Cargo Ship
13.72,3575,2495,97.9,LEIRO,1032,4.81,8017085,314298000,8PVZ,General Cargo Ship
